Model,Capacity,NAND Type,Format,Interface,Released,Controller,DRAM,Sequential R/W,Random R/W,Endurance,Product URL
Samsung 960 PRO,512GB 1TB 2TB,MLC,M.2 2280,PCIe 3.0 x4,2016,Samsung Polaris,Yes,3500/2100 MB/s,440000/360000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/samsung-960-pro-1-tb.d68
Samsung 970 EVO,250GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2018,Samsung Phoenix,Yes,3400/2500 MB/s,500000/450000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-970-evo-1-tb.d65
Samsung 970 EVO Plus (Elpis + V6),250GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,Samsung Elpis,Yes,3500/3300 MB/s,600000/550000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-970-evo-plus-1-tb.d993
Samsung 970 EVO Plus (Phoenix + V5),250GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Samsung Phoenix,Yes,3500/3300 MB/s,600000/550000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-970-evo-plus-1-tb.d61
Samsung 970 PRO,512GB 1TB,MLC,M.2 2280,PCIe 3.0 x4,2018,Samsung Phoenix,Yes,3500/2700 MB/s,500000/500000 IOPS,1200TBW,https://www.techpowerup.com/ssd-specs/samsung-970-pro-1-tb.d55
Samsung 980 (V-NAND V6 512Gb),250GB 500GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2020,Samsung Pablo,HMB,3500/3000 MB/s,480000/500000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-980-1-tb.d58
Samsung 980 (V-NAND V6P 512Gb),500GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2023,Samsung Pablo,HMB,3500/3000 MB/s,480000/500000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-980-1-tb.d1916
Samsung 980 PRO,250GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2020,Samsung Elpis,Yes,7000/5000 MB/s,1000000/1000000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-980-pro-1-tb.d47
Samsung 980 PRO (PS5),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2020,Samsung Elpis,Yes,7000/5000 MB/s,1000000/1000000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-980-pro-ps5-1-tb.d675
Samsung 983 DCT,960GB 960GB,TLC,M.2 22110,PCIe 3.0 x4,2018,Samsung Phoenix,Yes,3000/1200 MB/s,400000/38000 IOPS,1366TBW,https://www.techpowerup.com/ssd-specs/samsung-983-dct-960-gb.d1877
Samsung 983 ZET,480GB 960GB,SLC,Add-In Card,PCIe 3.0 x4,2018,Samsung Phoenix,Yes,3400/3000 MB/s,750000/75000 IOPS,17520TBW,https://www.techpowerup.com/ssd-specs/samsung-983-zet-960-gb.d1253
Samsung 990 Evo,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2024,Samsung Piccolo,HMB,5000/4200 MB/s,680000/800000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-990-evo-1-tb.d1868
Samsung 990 Evo Plus,1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x2,2024,Samsung Piccolo,HMB,7150/6300 MB/s,850000/1350000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-990-evo-plus-1-tb.d2207
Samsung 990 Pro (Pascal + V7),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Samsung Pascal,Yes,7450/6900 MB/s,1200000/1550000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-990-pro-1-tb.d861
Samsung 990 Pro (Pascal + V8 1Tb),2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Samsung Pascal,Yes,7450/6900 MB/s,1400000/1550000 IOPS,1200TBW,https://www.techpowerup.com/ssd-specs/samsung-990-pro-2-tb.d1896
Samsung 990 Pro (Pascal + V8 512Gb),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Samsung Pascal,Yes,7450/6900 MB/s,1200000/1550000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-990-pro-1-tb.d1897
Samsung 990 Pro (w/ Heatsink) (Pascal + V7),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Samsung Pascal,Yes,7450/6900 MB/s,1200000/1550000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-990-pro-w-heatsink-1-tb.d864
Samsung 990 Pro (w/ Heatsink) (Pascal + V8 1Tb),2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Samsung Pascal,Yes,7450/6900 MB/s,1400000/1550000 IOPS,1200TBW,https://www.techpowerup.com/ssd-specs/samsung-990-pro-w-heatsink-2-tb.d1898
Samsung 990 Pro (w/ Heatsink) (Pascal + V8 512Gb),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Samsung Pascal,Yes,7450/6900 MB/s,1200000/1550000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-990-pro-w-heatsink-1-tb.d1899
Samsung 990 QVO,4TB,QLC,M.2 2280,PCIe 4.0 x4,2024,Samsung PiccoloQ,HMB,Unknown MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/samsung-990-qvo-4-tb.d1980
Samsung BM1743,61TB,QLC,U.2,PCIe 5.0 x4,2024,Samsung ELAN,Yes,7200/2000 MB/s,1600000/110000 IOPS,29153TBW,https://www.techpowerup.com/ssd-specs/samsung-bm1743-61-tb.d2119
Samsung PM1653,960GB 1.9TB 3.8TB 7.5TB 15TB 31TB,TLC,2.5,SAS 24 Gbps,2022,Samsung RGX,Yes,4200/1200 MB/s,600000/55000 IOPS,1752TBW,https://www.techpowerup.com/ssd-specs/samsung-pm1653-960-gb.d1786
Samsung PM1725A,1.6TB 3TB 6TB,MLC,Add-In Card,PCIe 3.0 x8,2018,EPIC,Yes,6200/2600 MB/s,1000000/180000 IOPS,14600TBW,https://www.techpowerup.com/ssd-specs/samsung-pm1725a-1-6-tb.d1699
Samsung PM1735,1.6TB 3TB 6TB 13TB,TLC,Add-In Card,PCIe 4.0 x8,2020,Samsung Eagle,Yes,7000/2400 MB/s,1000000/200000 IOPS,8760TBW,https://www.techpowerup.com/ssd-specs/samsung-pm1735-1-6-tb.d2308
Samsung PM1743,1.9TB 3.8TB 7.5TB 15TB,TLC,U.2,PCIe 5.0 x4,2022,Samsung ELAN,Yes,14000/3000 MB/s,2000000/150000 IOPS,3504TBW,https://www.techpowerup.com/ssd-specs/samsung-pm1743-1-9-tb.d1684
Samsung PM883,240GB 480GB 960GB 1.9TB 3.8TB 7.5TB,TLC,2.5,SATA 6 Gbps,2018,Samsung MJX Maru,Yes,550/520 MB/s,98000/25000 IOPS,1366TBW,https://www.techpowerup.com/ssd-specs/samsung-pm883-960-gb.d1622
Samsung PM893,240GB 480GB 960GB 1.9TB 3.8TB 7.5TB,TLC,2.5,SATA 6 Gbps,2022,Samsung MKX Metis,Yes,550/520 MB/s,98000/30000 IOPS,1752TBW,https://www.techpowerup.com/ssd-specs/samsung-pm893-960-gb.d1864
Samsung PM897,3.8TB,TLC,2.5,SATA 6 Gbps,2021,Samsung MKX Metis,Yes,560/530 MB/s,97000/60000 IOPS,21024TBW,https://www.techpowerup.com/ssd-specs/samsung-pm897-3-8-tb.d1456
Samsung PM961,128GB 256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2017,Samsung Polaris,Yes,3000/1700 MB/s,360000/330000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/samsung-pm961-1-tb.d1200
Samsung PM963,960GB 1.9TB 3.8TB,TLC,M.2 22110,PCIe 3.0 x4,2016,Samsung Polaris,Yes,1800/930 MB/s,350000/30000 IOPS,1366TBW,https://www.techpowerup.com/ssd-specs/samsung-pm963-960-gb.d1367
Samsung PM981,256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2017,Samsung Phoenix,Yes,3200/2400 MB/s,380000/440000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/samsung-pm981-1-tb.d1220
Samsung PM981a,256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2020,Samsung Phoenix,Yes,3500/3000 MB/s,580000/550000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-pm981a-1-tb.d782
Samsung PM9A1,256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2020,Samsung Elpis,Yes,7000/5100 MB/s,1000000/850000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-pm9a1-1-tb.d786
Samsung PM9A3,960GB 1.9TB 3.8TB 7.5TB,TLC,U.3,PCIe 4.0 x4,2021,Samsung Elpis,Yes,6500/1500 MB/s,580000/70000 IOPS,1752TBW,https://www.techpowerup.com/ssd-specs/samsung-pm9a3-960-gb.d1259
Samsung PM9A3,3.8TB,TLC,M.2 22110,PCIe 4.0 x4,2021,Samsung Elpis,Yes,6900/4100 MB/s,1000000/180000 IOPS,7008TBW,https://www.techpowerup.com/ssd-specs/samsung-pm9a3-3-8-tb.d1722
Samsung PM9B1,256GB 512GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2022,88SS1322,HMB,3600/3000 MB/s,500000/420000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/samsung-pm9b1-1-tb.d2265
Samsung PM9C1a,1TB,TLC,M.2 2230,PCIe 4.0 x4,2023,Samsung Piccolo,HMB,6000/5600 MB/s,900000/1000000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/samsung-pm9c1a-1-tb.d1801
Samsung PM9E1,512GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Samsung Presto,Yes,Unknown MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/samsung-pm9e1-1-tb.d1983
Samsung SM883,240GB 480GB 960GB 1.9TB 3.8TB,MLC,2.5,SATA 6 Gbps,2018,Samsung MJX Maru,Yes,540/520 MB/s,97000/29000 IOPS,5256TBW,https://www.techpowerup.com/ssd-specs/samsung-sm883-960-gb.d1451
Samsung SM961,128GB 256GB 512GB 1TB,MLC,M.2 2280,PCIe 3.0 x4,2016,Samsung Polaris,Yes,3200/1800 MB/s,450000/320000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/samsung-sm961-1-tb.d1213
Samsung SZ1735,800GB 1.6TB 3TB,SLC,U.2,PCIe 3.0 x4,2021,Samsung Eagle,Yes,3200/3200 MB/s,800000/250000 IOPS,43800TBW,https://www.techpowerup.com/ssd-specs/samsung-sz1735-800-gb.d2275
SanDisk Extreme Pro,512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2018,WD 20-82-007011,Yes,3400/2800 MB/s,500000/400000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/sandisk-extreme-pro-1-tb.d702
SanDisk X110,64GB 128GB 256GB,MLC,2.5,SATA 6 Gbps,2013,88SS9175,Yes,505/405 MB/s,81000/44000 IOPS,80TBW,https://www.techpowerup.com/ssd-specs/sandisk-x110-256-gb.d2186
SanDisk X400,512GB 1TB,TLC,2.5,SATA 6 Gbps,2016,88SS1074,Yes,545/520 MB/s,95000/75000 IOPS,320TBW,https://www.techpowerup.com/ssd-specs/sandisk-x400-1-tb.d1585
ScaleFlux CSD 5510,3.8TB 7.5TB 15TB,TLC,U.2,PCIe 5.0 x4,2024,FX5016,Yes,14000/11000 MB/s,3200000/430000 IOPS,7008TBW,https://www.techpowerup.com/ssd-specs/scaleflux-csd-5510-3-8-tb.d2143
ScaleFlux CSD 5520,3TB 6TB 13TB,TLC,U.2,PCIe 5.0 x4,2024,FX5016,Yes,14000/11000 MB/s,3200000/430000 IOPS,17520TBW,https://www.techpowerup.com/ssd-specs/scaleflux-csd-5520-3-tb.d2140
Seagate BarraCuda,250GB 500GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2018,Phison S10,Yes,560/540 MB/s,90000/90000 IOPS,485TBW,https://www.techpowerup.com/ssd-specs/seagate-barracuda-1-tb.d239
Seagate BarraCuda 120,250GB 500GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2019,Phison S12,Yes,560/540 MB/s,90000/90000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/seagate-barracuda-120-1-tb.d198
Seagate BarraCuda 510,256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,3400/3000 MB/s,600000/600000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/seagate-barracuda-510-1-tb.d49
Seagate Barracuda 530,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2024,Phison E27T,HMB,7400/6100 MB/s,Unknown IOPS,600TBW,https://www.techpowerup.com/ssd-specs/seagate-barracuda-530-1-tb.d1978
Seagate BarraCuda Q5,500GB 1TB 2TB,QLC,M.2 2280,PCIe 3.0 x4,2020,Phison E13,Yes,2400/1700 MB/s,Unknown IOPS,274TBW,https://www.techpowerup.com/ssd-specs/seagate-barracuda-q5-1-tb.d222
Seagate Beskar Ingot Drive Special Edition,500GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7300/6000 MB/s,800000/1000000 IOPS,1275TBW,https://www.techpowerup.com/ssd-specs/seagate-beskar-ingot-drive-special-edition-1-tb.d1068
Seagate FireCuda 120,500GB 1TB 2TB 4TB,TLC,2.5,SATA 6 Gbps,2019,Phison S12,Yes,560/540 MB/s,100000/90000 IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/seagate-firecuda-120-1-tb.d218
Seagate FireCuda 510,500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,3450/3200 MB/s,620000/600000 IOPS,1300TBW,https://www.techpowerup.com/ssd-specs/seagate-firecuda-510-1-tb.d187
Seagate FireCuda 520 (E16 + Kioxia BiCS4),500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2019,Phison E16,Yes,5000/4400 MB/s,760000/700000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/seagate-firecuda-520-1-tb.d190
Seagate FireCuda 520 (E16 + Unknown),500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E16,Yes,5000/4850 MB/s,830000/950000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/seagate-firecuda-520-1-tb.d1414
Seagate FireCuda 530,500GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2020,Phison E18,Yes,7300/6000 MB/s,800000/1000000 IOPS,1275TBW,https://www.techpowerup.com/ssd-specs/seagate-firecuda-530-1-tb.d193
Seagate Firecuda 530R,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2024,Phison E18,Yes,7400/7000 MB/s,1300000/1300000 IOPS,1100TBW,https://www.techpowerup.com/ssd-specs/seagate-firecuda-530r-1-tb.d2212
Seagate Firecuda 530R (w/ heatsink),1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2024,Phison E18,Yes,7400/7000 MB/s,1300000/1300000 IOPS,1100TBW,https://www.techpowerup.com/ssd-specs/seagate-firecuda-530r-w-heatsink-1-tb.d2211
Seagate Firecuda 540,1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,9500/8500 MB/s,1300000/1500000 IOPS,1000TBW,https://www.techpowerup.com/ssd-specs/seagate-firecuda-540-1-tb.d1533
Seagate Game Drive PS5 NVMe,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Phison E18,Yes,7300/6000 MB/s,800000/1000000 IOPS,1275TBW,https://www.techpowerup.com/ssd-specs/seagate-game-drive-ps5-nvme-1-tb.d1702
Seagate IronWolf 110,240GB 480GB 960GB 1.9TB 3.8TB,TLC,2.5,SATA 6 Gbps,2019,Seagate 500021768,Yes,560/535 MB/s,90000/55000 IOPS,1750TBW,https://www.techpowerup.com/ssd-specs/seagate-ironwolf-110-960-gb.d203
Seagate IronWolf 125,250GB 500GB 1TB 2TB 4TB,TLC,2.5,SATA 6 Gbps,2018,Phison S12,Yes,560/540 MB/s,95000/90000 IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/seagate-ironwolf-125-1-tb.d208
Seagate IronWolf 510,240GB 480GB 960GB 1.9TB,TLC,M.2 2280,PCIe 3.0 x4,2020,Phison E12DC,Yes,3150/1000 MB/s,345000/28000 IOPS,1750TBW,https://www.techpowerup.com/ssd-specs/seagate-ironwolf-510-960-gb.d243
Seagate IronWolf Pro 125,240GB 480GB 960GB 1.9TB 3.8TB,TLC,2.5,SATA 6 Gbps,2019,Phison S12,Yes,545/520 MB/s,96000/25000 IOPS,1759TBW,https://www.techpowerup.com/ssd-specs/seagate-ironwolf-pro-125-960-gb.d214
Seagate Lightsaber Collection Special Edition,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Phison E18,Yes,7300/6000 MB/s,800000/1000000 IOPS,1275TBW,https://www.techpowerup.com/ssd-specs/seagate-lightsaber-collection-special-edition-1-tb.d1443
Seagate Nytro 5350H,1.9TB 3.8TB 7.5TB,TLC,U.3,PCIe 4.0 x4,2022,Phison X1 (E20),Yes,7100/4300 MB/s,1700000/195000 IOPS,3500TBW,https://www.techpowerup.com/ssd-specs/seagate-nytro-5350h-1-9-tb.d2122
Seagate Nytro 5550H,800GB 1.6TB 3TB 6TB 13TB,TLC,U.2,PCIe 4.0 x4,2022,Phison X1 (E20),Yes,7400/1900 MB/s,945000/140000 IOPS,4300TBW,https://www.techpowerup.com/ssd-specs/seagate-nytro-5550h-800-gb.d1602
Silicon Motion SM2508 Engineering Sample,1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2024,SM2508,Yes,14000/13000 MB/s,2000000/2000000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/silicon-motion-sm2508-engineering-sample-1-tb.d2176
Silicon Power Ace A55,128GB 256GB 512GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2020,Phison S11,No,560/530 MB/s,Unknown IOPS,500TBW,https://www.techpowerup.com/ssd-specs/silicon-power-ace-a55-1-tb.d1272
Silicon Power P34A80,256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2018,Phison E12,Yes,3400/3000 MB/s,390000/450000 IOPS,1665TBW,https://www.techpowerup.com/ssd-specs/silicon-power-p34a80-1-tb.d722
Silicon Power UD70,500GB 1TB 2TB 4TB,QLC,M.2 2280,PCIe 3.0 x4,2020,Phison E12S,Yes,3400/1900 MB/s,120000/500000 IOPS,260TBW,https://www.techpowerup.com/ssd-specs/silicon-power-ud70-1-tb.d720
Silicon Power UD90 (MAP1602 + YMTC CDT1B),1TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,4800/4200 MB/s,570000/600000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/silicon-power-ud90-1-tb.d1607
Silicon Power UD90 (Micron B47R),250GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E21T,HMB,4800/4200 MB/s,570000/600000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/silicon-power-ud90-1-tb.d936
Silicon Power UD90 (Micron N48R),1TB 2TB 4TB,QLC,M.2 2280,PCIe 4.0 x4,2022,Phison E21T,HMB,4800/4200 MB/s,570000/600000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/silicon-power-ud90-1-tb.d1353
Silicon Power US70,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2020,Phison E16,Yes,5000/4400 MB/s,750000/750000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/silicon-power-us70-1-tb.d717
Silicon Power US75 (MAP1602 + Micron TLC B58R 1Tb),500GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2024,MAP1602A,HMB,7000/6000 MB/s,Unknown IOPS,600TBW,https://www.techpowerup.com/ssd-specs/silicon-power-us75-1-tb.d2288
Silicon Power US75 (MAP1602 + YMTC EET1A TLC 1Tb),500GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7000/6000 MB/s,Unknown IOPS,600TBW,https://www.techpowerup.com/ssd-specs/silicon-power-us75-1-tb.d2293
Silicon Power XD80,256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,Phison E12S,Yes,3400/3000 MB/s,390000/450000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/silicon-power-xd80-1-tb.d713
Silicon Power XS70 (E18 + Micron B47R),1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7300/6800 MB/s,Unknown IOPS,700TBW,https://www.techpowerup.com/ssd-specs/silicon-power-xs70-1-tb.d707
Silicon Power XS70 (IG5236 + YMTC CDT1B),2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7300/6800 MB/s,Unknown IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/silicon-power-xs70-2-tb.d1508
Silicon Power XS80,1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,9500/8500 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/silicon-power-xs80-1-tb.d1717
SK Hynix Bettle X31,1TB,TLC,Unknown,Unknown,2023,Cepheus 2,Yes,1050/1000 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/sk-hynix-bettle-x31-1-tb.d1726
SK Hynix Canvas SC300,128GB 256GB 512GB,MLC,2.5,SATA 6 Gbps,2015,SH87810AA,Yes,530/470 MB/s,95000/85000 IOPS,72TBW,https://www.techpowerup.com/ssd-specs/sk-hynix-canvas-sc300-512-gb.d1719
SK Hynix Gold P31,500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,SK Hynix Cepheus,Yes,3500/3200 MB/s,570000/600000 IOPS,750TBW,https://www.techpowerup.com/ssd-specs/sk-hynix-gold-p31-1-tb.d444
SK Hynix Gold S31,250GB 500GB 1TB,TLC,2.5,SATA 6 Gbps,2019,SK Hynix Quartz,Yes,560/525 MB/s,95000/87000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/sk-hynix-gold-s31-1-tb.d446
SK Hynix PC601,1TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Cepheus Plus,Yes,3400/2500 MB/s,510000/440000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/sk-hynix-pc601-1-tb.d2181
SK Hynix PC801,256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Aries,Yes,7000/6500 MB/s,1500000/1400000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/sk-hynix-pc801-1-tb.d2298
SK Hynix PCB01,2TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Alistar,Yes,14000/12000 MB/s,2000000/2000000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/sk-hynix-pcb01-2-tb.d2057
SK Hynix PE6011,1.9TB 3.8TB 7.5TB,TLC,U.2,PCIe 3.0 x4,2020,SH58800GG,Yes,3200/2450 MB/s,610000/70000 IOPS,3504TBW,https://www.techpowerup.com/ssd-specs/sk-hynix-pe6011-1-9-tb.d1492
SK Hynix PE8110,960GB 1.9TB 3.8TB 7.5TB,TLC,U.2,PCIe 4.0 x4,2021,Aquarius,Yes,6500/1700 MB/s,900000/70000 IOPS,1752TBW,https://www.techpowerup.com/ssd-specs/sk-hynix-pe8110-960-gb.d1729
SK Hynix PE8130,800GB 1.6TB 3TB 6TB,TLC,U.2,PCIe 4.0 x4,2021,Aquarius,Yes,6500/1700 MB/s,900000/160000 IOPS,4380TBW,https://www.techpowerup.com/ssd-specs/sk-hynix-pe8130-800-gb.d1733
SK Hynix Platinum P41,500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Aries,Yes,7000/6500 MB/s,1400000/1300000 IOPS,750TBW,https://www.techpowerup.com/ssd-specs/sk-hynix-platinum-p41-1-tb.d588
SK Hynix Platinum P51,500GB 1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Alistar,Yes,13500/11500 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/sk-hynix-platinum-p51-1-tb.d1967
SK Hynix SC3010,960GB,MLC,2.5,SATA 6 Gbps,2016,SH87810AA,Yes,560/490 MB/s,98000/Unknown IOPS,526TBW,https://www.techpowerup.com/ssd-specs/sk-hynix-sc3010-960-gb.d1737
Solidigm 670p,512GB 1TB 2TB,QLC,M.2 2280,PCIe 3.0 x4,2020,SM2265,Yes,3500/2500 MB/s,220000/330000 IOPS,370TBW,https://www.techpowerup.com/ssd-specs/solidigm-670p-1-tb.d822
Solidigm D5-P5336,7.5TB 61TB,pQLC,U.2,PCIe 4.0 x4,2023,SLNQG,Yes,7000/3300 MB/s,Unknown IOPS,5900TBW,https://www.techpowerup.com/ssd-specs/solidigm-d5-p5336-7-5-tb.d1566
Solidigm D7-P5430,15TB 31TB,pQLC,U.2,PCIe 4.0 x4,2023,Unknown,Yes,7000/3000 MB/s,935000/120000 IOPS,14300TBW,https://www.techpowerup.com/ssd-specs/solidigm-d7-p5430-15-tb.d1675
Solidigm D7-P5510,7.5TB,pTLC,U.2,PCIe 4.0 x4,2020,SLNBX,Yes,7000/4194 MB/s,930000/190000 IOPS,14016TBW,https://www.techpowerup.com/ssd-specs/solidigm-d7-p5510-7-5-tb.d1331
Solidigm D7-P5810,800GB,pSLC,U.2,PCIe 4.0 x4,2023,SLNBX,Yes,6400/4000 MB/s,865000/495000 IOPS,73000TBW,https://www.techpowerup.com/ssd-specs/solidigm-d7-p5810-800-gb.d1674
Solidigm D7-PS1010,1.9TB 3.8TB 7.5TB 15TB,TLC,U.2,PCIe 5.0 x4,2024,Atomos Prime,Yes,14500/4100 MB/s,2350000/150000 IOPS,3504TBW,https://www.techpowerup.com/ssd-specs/solidigm-d7-ps1010-1-9-tb.d2148
Solidigm D7-PS1030,1.6TB 3TB 6TB 13TB,TLC,U.2,PCIe 5.0 x4,2024,Atomos Prime,Yes,14500/4100 MB/s,2350000/350000 IOPS,8760TBW,https://www.techpowerup.com/ssd-specs/solidigm-d7-ps1030-1-6-tb.d2149
Solidigm P41 Plus,512GB 1TB 2TB,QLC,M.2 2280,PCIe 4.0 x4,2022,SM2269XT,HMB,4125/3325 MB/s,390000/540000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/solidigm-p41-plus-1-tb.d858
Solidigm P42 Plus,512GB,pQLC,M.2 2280,PCIe 4.0 x4,Unknown,SM2268XT,Yes,Unknown MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/solidigm-p42-plus-512-gb.d1721
Solidigm P44 Pro,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Aries,Yes,7000/6500 MB/s,1400000/1300000 IOPS,750TBW,https://www.techpowerup.com/ssd-specs/solidigm-p44-pro-1-tb.d1124
Sony Nextorage NEM-PA (PS5) (Kioxia HDR BiCS5 1Tb),8TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7300/6900 MB/s,1000000/1000000 IOPS,6000TBW,https://www.techpowerup.com/ssd-specs/sony-nextorage-nem-pa-ps5-8-tb.d1936
